"name","tag","type","attributes","value","action","proVersion","osVersion"
"_link","A","null","sahiText,title|alt,id,index,href,className","sahiText","_click","3.5","2"
"_image","IMG","null","title|alt,id,FN,index,className","null","_click","3.5","2"
"_label","LABEL","null","sahiText,id,className,index","sahiText","_click","3.5","2"
"_listItem","LI","null","sahiText,id,className,index","sahiText","_click","3.5","2"
"_list","UL","null","id,className,index","sahiText","_click","3.5","3"
"_list","OL","null","id,className,index","sahiText","_click","3.5","3"
"_div","DIV","null","sahiText,id,className,index","sahiText","_click","3.5","2"
"_span","SPAN","null","sahiText,id,className,index","sahiText","_click","3.5","2"
"_table","TABLE","null","id,className,index","sahiText","null","3.5","2"
"_row","TR","null","id,className,sahiText,index","sahiText","_click","3.5","2"
"_cell","TD","null","sahiText,id,className,index,encaps_TR,encaps_TABLE","sahiText","_click","3.5","2"
"_tableHeader","TH","null","sahiText,id,className,encaps_TABLE","sahiText","_click","3.5","3"
"_fieldset","FIELDSET","null","name,id,className,FN,index,disabled","sahiText","","5.1.0.0","5.0"
"_button","INPUT","button","value,name,id,FN,index,className","value","_click","3.5","2"
"_button","BUTTON","button","sahiText,name,id,className,index","sahiText","_click","3.5","2"
"_checkbox","INPUT","checkbox","name,id,value,className,FN,index","checked","_click","3.5","2"
"_password","INPUT","password","name,id,FN,index,className","value","_setValue","3.5","2"
"_radio","INPUT","radio","id,name,value,className,FN,index","checked","_click","3.5","2"
"_submit","INPUT","submit","value,name,FN,id,className,index","value","_click","3.5","2"
"_submit","BUTTON","submit","sahiText,name,id,className,index","sahiText","_click","3.5","2"
"_textbox","INPUT","text","name,id,FN,index,className","value","_setValue","3.5","2"
"_reset","INPUT","reset","value,name,id,className,FN,index","value","_click","3.5","2"
"_reset","BUTTON","reset","sahiText,name,id,className,index","sahiText","_click","3.5","2"
"_hidden","INPUT","hidden","name,id,className,FN,index","value","_setValue","3.5","3"
"_file","INPUT","file","name,id,FN,index,className","value","_setFile","3.5","2"
"_imageSubmitButton","INPUT","image","title|alt,name,id,FN,FN,index,className","null","_click","3.5","2"
"_datebox","INPUT","date","name,id,FN,index,className","value","_setValue","3.5","3.5"
"_datetimebox","INPUT","datetime","name,id,FN,index,className","value","_setValue","3.5","3.5"
"_datetimelocalbox","INPUT","datetime-local","name,id,FN,index,className","value","_setValue","3.5","3.5"
"_emailbox","INPUT","email","name,id,FN,index,className","value","_setValue","3.5","3.5"
"_monthbox","INPUT","month","name,id,FN,index,className","value","_setValue","3.5","3.5"
"_numberbox","INPUT","number","name,id,FN,index,className","value","_setValue","3.5","3.5"
"_rangebox","INPUT","range","name,id,FN,index,className","value","_setValue","3.5","3.5"
"_searchbox","INPUT","search","name,id,FN,index,className","value","_setValue","3.5.2","3.5"
"_telephonebox","INPUT","tel","name,id,FN,index,className","value","_setValue","4.2","4.3"
"_timebox","INPUT","time","name,id,FN,index,className","value","_setValue","3.5","3.5"
"_urlbox","INPUT","url","name,id,FN,index,className","value","_setValue","3.5","3.5"
"_weekbox","INPUT","week","name,id,FN,index,className","value","_setValue","3.5","3.5"
"_select","SELECT","null","name,id,index,className","function (el){return _sahi._getSelectedText(el) || _sahi.getOptionId(el, el.value) || el.value;}","_setSelected","3.5","2"
"_option","OPTION","null","encaps_SELECT,sahiText,value,id,index","sahiText","","3.5","2"
"_textarea","TEXTAREA","null","name,id,index,className","value","_setValue","3.5","2"
"_heading1","H1","null","sahiText,id,className,index","sahiText","_click","3.5","3"
"_heading2","H2","null","sahiText,id,className,index","sahiText","_click","3.5","3"
"_heading3","H3","null","sahiText,id,className,index","sahiText","_click","3.5","3"
"_heading4","H4","null","sahiText,id,className,index","sahiText","_click","3.5","3"
"_heading5","H5","null","sahiText,id,className,index","sahiText","_click","3.5","3"
"_heading6","H6","null","sahiText,id,className,index","sahiText","_click","3.5","3"
"_area","AREA","null","id,title|alt,href,shape,className,index","null","_click","3.5","3"
"_map","MAP","null","name,id,title,className,index","null","_click","3.5","3"
"_paragraph","P","null","encaps_A,id,className,sahiText,index","sahiText","_click","4.3","4.3"
"_italic","I","null","encaps_A,sahiText,id,className,index","sahiText","_click","3.5","3"
"_emphasis","EM","null","encaps_A,sahiText,id,className,index","sahiText","_click","3.5","3"
"_bold","B","null","encaps_A,sahiText,id,className,index","sahiText","_click","3.5","3"
"_strong","STRONG","null","encaps_A,sahiText,id,className,index","sahiText","_click","3.5","3"
"_preformatted","PRE","null","sahiText,id,className,index","sahiText","_click","3.5","3"
"_code","CODE","null","sahiText,id,className,index","sahiText","_click","3.5","3"
"_blockquote","BLOCKQUOTE","null","sahiText,id,className,index","sahiText","_click","3.5","3"
"_canvas","CANVAS","null","sahiText,id,className,index","sahiText","_click","3.6","3.5"
"_abbr","ABBR","null","encaps_A,sahiText,title,id,className,index","sahiText","_click","3.6.2","4.3"
"_hr","HR","null","id,className,index","","_click","5.0.5","5.0"
"_iframe","IFRAME","null","id,name,className,index","","","3.5","2"
"_frame","FRAME","null","id,name,className,index","","","3.5","2"
"_object","OBJECT","null","id,name,data,FN,FN","","","5.0.5","NA"
"_embed","EMBED","null","name,id,FN,FN","","","5.0.8","NA"
"_dList","DL","null","sahiText,id,className,index","sahiText","_click","4.2","4.3"
"_dTerm","DT","null","sahiText,id,className,index","sahiText","_click","4.2","4.3"
"_dDesc","DD","null","sahiText,id,className,index","sahiText","_click","4.2","4.3"
"_font","FONT","null","sahiText,color,face,size","","none","5.1.0.0","5.0"
"_svg_rect","RECT","null","sahiText,id,className,index","sahiText","_click","5.0","NA"
"_svg_tspan","TSPAN","null","sahiText,id,className,index","sahiText","_click","5.0","NA"
"_svg_circle","CIRCLE","null","sahiText,id,className,index","sahiText","_click","5.0","NA"
"_svg_ellipse","ELLIPSE","null","sahiText,id,className,index","sahiText","_click","5.0","NA"
"_svg_line","LINE","null","sahiText,id,className,index","sahiText","_click","5.0","NA"
"_svg_polygon","POLYGON","null","sahiText,id,className,index","sahiText","_click","5.0","NA"
"_svg_polyline","POLYLINE","null","sahiText,id,className,index","sahiText","_click","5.0","NA"
"_svg_path","PATH","null","sahiText,id,className,index","sahiText","_click","5.0","NA"
"_svg_text","TEXT","null","sahiText,id,className,index","sahiText","_click","5.0","NA"
